year,city,glo_avg_temp,munich_avg_temp
1750,Munich,8.72,5.40
1751,Munich,7.98,5.54
1752,Munich,5.78,0.53
1753,Munich,8.39,4.61
1754,Munich,8.47,4.33
1755,Munich,8.36,4.05
1756,Munich,8.85,4.64
1757,Munich,9.02,4.30
1758,Munich,6.74,3.83
1759,Munich,7.99,4.89
1760,Munich,7.19,5.02
1761,Munich,8.77,4.94
1762,Munich,8.61,4.49
1763,Munich,7.50,4.25
1764,Munich,8.40,4.82
1765,Munich,8.25,4.52
1766,Munich,8.41,4.28
1767,Munich,8.22,3.85
1768,Munich,6.78,3.84
1769,Munich,7.69,4.43
1770,Munich,7.69,4.36
1771,Munich,7.85,4.19
1772,Munich,8.19,5.81
1773,Munich,8.22,4.76
1774,Munich,8.77,4.43
1775,Munich,9.18,5.03
1776,Munich,8.30,4.21
1777,Munich,8.26,4.28
1778,Munich,8.54,5.21
1779,Munich,8.98,5.53
1780,Munich,9.43,4.71
1781,Munich,8.10,5.48
1782,Munich,7.90,3.96
1783,Munich,7.68,5.22
1784,Munich,7.86,3.67
1785,Munich,7.36,3.35
1786,Munich,8.26,3.71
1787,Munich,8.03,4.83
1788,Munich,8.45,4.69
1789,Munich,8.33,4.26
1790,Munich,7.98,4.91
1791,Munich,8.23,5.09
1792,Munich,8.09,4.77
1793,Munich,8.23,5.06
1794,Munich,8.53,5.54
1795,Munich,8.35,4.59
1796,Munich,8.27,4.65
1797,Munich,8.51,5.55
1798,Munich,8.67,4.81
1799,Munich,8.51,3.26
1800,Munich,8.48,5.02
1801,Munich,8.59,5.31
1802,Munich,8.58,5.07
1803,Munich,8.50,4.20
1804,Munich,8.84,4.80
1805,Munich,8.56,3.09
1806,Munich,8.43,5.40
1807,Munich,8.28,5.05
1808,Munich,7.63,3.58
1809,Munich,7.08,4.61
1810,Munich,6.92,4.72
1811,Munich,6.86,5.70
1812,Munich,7.05,3.39
1813,Munich,7.74,3.87
1814,Munich,7.59,3.46
1815,Munich,7.24,4.01
1816,Munich,6.94,2.96
1817,Munich,6.98,4.21
1818,Munich,7.83,4.66
1819,Munich,7.37,4.97
1820,Munich,7.62,3.88
1821,Munich,8.09,4.59
1822,Munich,8.19,5.85
1823,Munich,7.72,4.22
1824,Munich,8.55,4.89
1825,Munich,8.39,5.07
1826,Munich,8.36,4.81
1827,Munich,8.81,4.71
1828,Munich,8.17,5.02
1829,Munich,7.94,2.79
1830,Munich,8.52,3.90
1831,Munich,7.64,4.82
1832,Munich,7.45,4.25
1833,Munich,8.01,4.45
1834,Munich,8.15,5.72
1835,Munich,7.39,4.07
1836,Munich,7.70,4.40
1837,Munich,7.38,3.68
1838,Munich,7.51,3.29
1839,Munich,7.63,4.66
1840,Munich,7.80,3.66
1841,Munich,7.69,5.16
1842,Munich,8.02,4.09
1843,Munich,8.17,4.48
1844,Munich,7.65,4.03
1845,Munich,7.85,3.73
1846,Munich,8.55,5.54
1847,Munich,8.09,3.90
1848,Munich,7.98,4.61
1849,Munich,7.98,4.37
1850,Munich,7.90,3.84
1851,Munich,8.18,3.66
1852,Munich,8.10,5.02
1853,Munich,8.04,3.69
1854,Munich,8.21,4.08
1855,Munich,8.11,3.52
1856,Munich,8.00,4.30
1857,Munich,7.76,4.41
1858,Munich,8.10,3.63
1859,Munich,8.25,5.07
1860,Munich,7.96,3.41
1861,Munich,7.85,4.62
1862,Munich,7.56,5.39
1863,Munich,8.11,5.35
1864,Munich,7.98,3.26
1865,Munich,8.18,4.75
1866,Munich,8.29,5.01
1867,Munich,8.44,4.44
1868,Munich,8.25,5.54
1869,Munich,8.43,4.69
1870,Munich,8.20,3.57
1871,Munich,8.12,3.53
1872,Munich,8.19,5.51
1873,Munich,8.35,4.77
1874,Munich,8.43,4.18
1875,Munich,7.86,3.96
1876,Munich,8.08,4.64
1877,Munich,8.54,4.79
1878,Munich,8.83,4.26
1879,Munich,8.17,3.53
1880,Munich,8.12,4.74
1881,Munich,8.27,4.24
